Year,GDP_Growth,Gov_Expenditure,Investment,Inflation,Unemployment
1960,,10.9591495841468,,1.24378109452731,
1961,-7.77463490371655,12.0286048804568,,2.45700245700254,
1962,9.45735874072126,11.6001194813919,,3.11750599520378,
1963,8.77834021621184,11.4708805532615,,0.697674418604589,
1964,4.96446728844091,13.849176662943,13.0642044886443,-0.0993048669314341,
1965,2.00909417103099,14.8428773408747,14.3939448355625,3.57852882806742,
1966,14.7285664015687,13.7292601912407,18.6102406094926,5.01439539323414,
1967,3.36123203258556,14.1299409359382,20.1726487960018,1.75919579598299,
1968,7.9826899693479,15.2073160638914,20.048828933212,0.366711570051019,
1969,7.9592244594956,16.4346740904291,19.3721800902371,-0.17150100656233,
1970,-4.65544691647621,16.2574651625747,24.3966751650194,2.18852703907439,
1971,22.1738919255764,17.9802878105615,23.9159870264823,3.78020612544907,
1972,17.082429349983,17.6322083444061,22.3173000265745,5.83164474311005,
1973,5.89658021016672,16.452237276557,25.811225663213,9.28119422332106,
1974,4.06561734893735,17.0359196756859,25.7556330724993,17.8099480331818,
1975,0.882203175319148,18.325399013955,18.1398934570068,19.1201840136051,
1976,2.15396450322561,17.4601025041277,20.2442178040726,11.4490304932756,
1977,9.45379784408087,17.2052260874241,23.7233211462982,14.8209644818935,
1978,6.91249354626197,19.51476535934,29.7892893210325,16.9317824582842,
1979,7.61522604591983,19.1957771865076,18.1327783022916,7.97935261848786,
1980,5.5919762059677,19.8033752623493,24.5071406229961,13.8581814562484,
1981,3.77354419402822,18.5887512899897,22.9134416924665,11.6030534351142,
1982,1.50647825757706,18.4330327782507,21.8602148394683,20.6667146662827,
1983,1.3090502411486,18.4216543832185,20.9250655214958,11.3977827368523,
1984,1.75521697703473,17.3818333396831,19.8110319511085,10.284098213138,
1985,4.30056181879613,17.4602922679533,25.3248237306024,13.0065664218827,
1986,7.17755539065963,18.3195669682156,21.7680371734426,2.53427598892888,
1987,5.93710744420895,18.568755632614,24.2894328729648,8.63767318980084,
1988,6.20318382314591,18.4057892238787,25.4490410212095,12.2649630481582,
1989,4.69034876792047,18.0566077928876,24.8620776143297,13.7893172763883,
1990,4.19205097155167,18.642430895609,24.1640928963226,17.78181442992,
1991,1.43834679171559,16.7713456618015,20.9705148585975,20.0844955754632,2.78
1992,-0.799493958641349,15.6822725897384,16.9208390832406,27.3323644475784,2.894
1993,0.353197256227247,14.4799654869237,17.6104350597216,45.9788813036218,2.979
1994,2.632784517837,15.154926314268,19.2932429676681,28.8143894306731,2.955
1995,4.40621652482287,14.8429210451121,21.8197611034428,1.55432816055009,2.848
1996,4.14683926876013,15.1805673853703,15.0038226855311,8.86408741577522,2.773
1997,0.474901921293579,15.5361521874874,15.1409881437805,11.3618450505783,2.818
1998,3.29021372249065,16.2499609195116,16.6927164077638,6.72243650753928,2.843
1999,2.30538859522412,15.7532966549933,15.5214148674685,5.74200109520484,2.884
2000,0.599695390807426,15.0542922556179,17.4140906154511,9.98002515350979,2.884
2001,3.77990649795343,15.9729117514735,18.790340524259,5.73859814341467,2.876
2002,0.546859530175595,17.0779999092115,15.1382158893462,1.96130821739162,2.916
2003,2.93247554570904,18.1313185754854,16.4821493891933,9.81569062979654,2.869
2004,5.10429977629738,17.860065964127,16.962495556485,11.6240355442426,2.844
2005,5.90666607980057,17.3802115523848,17.6496847904784,10.3127783574683,2.739
2006,6.47249430015484,14.3469988040006,18.633585404403,14.4537342081708,2.673
2007,6.85072976998784,14.6296114670377,20.4569783889085,9.75888023027529,2.642
2008,0.232282744812977,15.6739794237589,19.6127114227698,26.2398166445063,2.751
2009,3.30693981631089,13.5545947939366,19.0191724248254,9.23412592394652,2.816
2010,8.05847360290906,12.9529718175577,21.2639987992095,3.96138889115385,2.793
2011,5.1211061197056,12.6846420216244,21.8858122759467,14.0224913014704,2.699
2012,4.56867961444982,12.2713774212109,22.1933629258823,9.37777003547598,2.678
2013,3.7978483925754,11.8426259978213,22.4049681039862,5.71749357037733,2.762
2014,5.02011100232484,11.7424945888753,24.9507189987733,6.87815499275949,2.767
2015,4.96772112759767,12.7266800758884,22.1033982020293,6.58215429284779,2.762
2016,4.21351706814744,12.609768629814,19.3484358309332,6.29724953814625,2.757
2017,3.83795817364721,12.3350790178839,20.6634949022773,8.00564967709945,3.542
2018,5.64794640709219,12.3486893953272,19.3759862497025,4.6898064677633,4.284
2019,5.11415885767801,12.1707972873275,19.3418324204191,5.23963795764792,5.014
2020,-0.272766327438816,12.4776599686236,19.6515841707054,5.40516207933392,5.613
2021,7.59048947333467,12.1468578016243,20.3912447822361,6.10793603659176,5.693
2022,4.85998104287999,12.2133041039933,19.0540638513609,7.65986268272224,5.565
2023,5.71999241214208,11.7769650802435,16.5707504717762,7.67139634029402,5.409
2024,4.72473994710138,11.1556008150154,16.7771560971022,4.48978854243448,5.487
2025,,,,,5.449
