Year,Inflation
1960,1.24378109452731
1961,2.45700245700254
1962,3.11750599520378
1963,0.697674418604589
1964,-0.0993048669314341
1965,3.57852882806742
1966,5.01439539323414
1967,1.75919579598299
1968,0.366711570051019
1969,-0.17150100656233
1970,2.18852703907439
1971,3.78020612544907
1972,5.83164474311005
1973,9.28119422332106
1974,17.8099480331818
1975,19.1201840136051
1976,11.4490304932756
1977,14.8209644818935
1978,16.9317824582842
1979,7.97935261848786
1980,13.8581814562484
1981,11.6030534351142
1982,20.6667146662827
1983,11.3977827368523
1984,10.284098213138
1985,13.0065664218827
1986,2.53427598892888
1987,8.63767318980084
1988,12.2649630481582
1989,13.7893172763883
1990,17.78181442992
1991,20.0844955754632
1992,27.3323644475784
1993,45.9788813036218
1994,28.8143894306731
1995,1.55432816055009
1996,8.86408741577522
1997,11.3618450505783
1998,6.72243650753928
1999,5.74200109520484
2000,9.98002515350979
2001,5.73859814341467
2002,1.96130821739162
2003,9.81569062979654
2004,11.6240355442426
2005,10.3127783574683
2006,14.4537342081708
2007,9.75888023027529
2008,26.2398166445063
2009,9.23412592394652
2010,3.96138889115385
2011,14.0224913014704
2012,9.37777003547598
2013,5.71749357037733
2014,6.87815499275949
2015,6.58215429284779
2016,6.29724953814625
2017,8.00564967709945
2018,4.6898064677633
2019,5.23963795764792
2020,5.40516207933392
2021,6.10793603659176
2022,7.65986268272224
2023,7.67139634029402
2024,4.48978854243448
2025,
